name,numDownloadsMin,fileSize,price,aggregateRating,ratingCount
Mechanic Mike - First Tune Up,500000,33M,0,3.66861081123352,15088
???,10,11M,0,5,1
Meme Karten,10000,"2,2M",0,4.14141416549683,198
EscapeGame N31 - Mystery Shack,1000,"1,7M",0,3.44827580451965,58
TaxiLike,1000,"9,6M",0,3.64705872535706,34
EscapeGame N29 - Cave Escape,1000,"2,7M",0,3.3103449344635,29
Kinderlieder,10000,883k,0,3.92125988006592,127
Merck Manual,10000,"3,4M",0,3.51948046684265,77
SC Varsity,100,"4,9M",0,4,1
Gun Sounds,1000,"8,5M",0,3.83999991416931,50
Cep PTT Kargo,10000,"1,4M",0,3.50310564041138,805
Mo PTT,500000,"3,8M",0,4.46234703063965,13983
Chinese Ancient Music,5000,18M,0,4.03947353363037,76
TalkBox Voice Messenger - PTT,1000000,,0,4.07786989212036,22351
[C54] seefiftyfour,50,"5,9M",0,0,0
Rock Spock Glock,10,"1,1M",0,5,6
tlo,10,"9,5M",0,0,0
Backgrounds HD,100000,"4,3M",0,3.86731839179993,2148
Hintergründe,1000000,237k,0,3.74668598175049,4149
1 Farbhintergründe: Simplicity,10000,"1,6M",0,4.35017061233521,1465
PocketProbe Free,500,"5,4M",0,4.30000019073486,10
Talking Fong,100000,25M,0,3.97076034545898,513
Belfius Travel,10000,"5,0M",0,4.19444465637207,144
Superampify Music Streamer,1000,912k,0,4.0625,16
Colin McRae Rally,50000,191M,1.79,4.0402946472168,8686
Glitzermünzen!,1000000,13M,0,4.14016437530518,7799
Cross Equate,5000,"5,6M",0,4.26217222213745,267
Launcher 7,1000000,"2,0M",0,4.41663312911987,44568
Nikolai Rimski-Korsakow Musik,500,"2,1M",0,4,6
Hector Berlioz Musik Werke,500,"2,2M",0,5,8
Google Drive,100000000,,0,4.33445549011231,546686
Subway Surfers,100000000,36M,0,4.45844221115112,10273715
Angry Birds Star Wars,50000000,46M,0,4.34941577911377,707183
Splashtop Remote Desktop HD,50000,"3,4M",7.39,4.44653797149658,4246
LocalCast Media zur ChromeCast,500000,"6,1M",0,4.13953161239624,14090
RadioPodcast UK Free,10000,"1,2M",0,4.08771944046021,57
Grammatik-Test Englisch  Free,500000,"3,7M",0,3.86243581771851,2726
Boy Scout Troop 263,50,"1,0M",0,0,0
xDonate 1x,10,163k,1,5,4
????????????,1000000,21M,0,4.40116405487061,28866
Matching With Friends,1000000,21M,0,4.34149074554443,42619
Bingo by IGG: Top Bingo+Slots!,1000000,21M,0,4.65110969543457,95798
Candy Camera - Selfie Selfies,10000000,21M,0,4.29395961761475,535257
Cut the Rope FULL FREE,50000000,,0,4.31186962127686,957377
Make Your Clock Widget,1000000,"2,8M",0,4.20411205291748,9441
Japanisch lernen,500000,12M,0,4.40907907485962,22932
Life is Crime,1000000,21M,0,4.32269382476807,48468
Laudate  Nr. 1 katholische App,500000,21M,0,4.71656847000122,15971
Naver Global Phrase-??? ?????,1000000,21M,0,4.48252487182617,7811
T? ?i?n Anh Vi?t - Vlook,500000,21M,0,4.43758773803711,5688
QQ International,1000000,21M,0,4.07534122467041,20427
Flipkart,5000000,"5,3M",0,4.28074359893799,327687
"????? (?, ???, ????, ?????)",1000000,21M,0,3.96958255767822,8745
5by,50000,"6,3M",0,4.12611675262451,4813
Periodic Droid - No Ads,50,783k,0.72,4.2857141494751,7
?????????. ?????,50000,"5,7M",0,3.69390249252319,820
Faso Pharmacies,10000,956k,0,4.43457937240601,214
IP Cam Soft Lite,50000,"5,4M",0,3.75,344
???????? -Reborn,5000,"6,8M",0,4.09756088256836,82
Pocket Britain,10000,"2,6M",0,4.02439022064209,123
PerfectShot,10000,"1,6M",0,3.82558131217957,258
Depri-Horst,1000,56M,0,4.12258052825928,155
Anti Diebstahl-Alarm Pro,50000,"2,6M",0,4.17292594909668,1145
Rental Property Manager,1000,"3,0M",4.61,4.47916650772095,48
Skate or Die sk8,50000,15M,0,3.6097559928894,287
Hive Bitcoin Wallet,5000,"2,2M",0,4.32000017166138,125
